Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Status
slow-productivity-hindi-9780143470946,Slow Productivity (Hindi),<table><tr><td><strong>Author(s)</strong></td><td>Cal Newport</td></tr><tr><td><strong>Publisher</strong></td><td>Penguin Swadesh</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>Hindi</td></tr><tr><td><strong>ISBN</strong></td><td>9780143470946</td></tr></table>,Penguin Swadesh,Media > Books,Books,"Hindi, Paper Back, Cal Newport",TRUE,Title,Default Title,9780143470946,shopify,1,deny,manual,299,,TRUE,FALSE,9780143470946,https://covers.openlibrary.org/b/isbn/9780143470946-L.jpg,1,Slow Productivity (Hindi),active
the-winning-formula-9789356408609,The Winning Formula,<table><tr><td><strong>Author(s)</strong></td><td>K.J. Alphons</td></tr><tr><td><strong>Publisher</strong></td><td>Bloomsbury India</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9789356408609</td></tr></table>,Bloomsbury India,Media > Books,Books,"English, Paper Back, K.J. Alphons",TRUE,Title,Default Title,9789356408609,shopify,1,deny,manual,499,,TRUE,FALSE,9789356408609,https://covers.openlibrary.org/b/isbn/9789356408609-L.jpg,1,The Winning Formula,active
courtesy-of-criticism-selected-essays-of-kirtinath-kurtkoti-9780143473480,COURTESY OF CRITICISM: SELECTED ESSAYS OF KIRTINATH KURTKOTI,<table><tr><td><strong>Author(s)</strong></td><td>KIRTINATH KURTKOTI; KAMALAKAR BHAT (TR.)</td></tr><tr><td><strong>Publisher</strong></td><td>VINTAGE BOOKS PRH INDIA LOCAL PRINT</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780143473480</td></tr></table>,VINTAGE BOOKS PRH INDIA LOCAL PRINT,Media > Books,Books,"English, Paper Back, KIRTINATH KURTKOTI; KAMALAKAR BHAT (TR.)",TRUE,Title,Default Title,9780143473480,shopify,1,deny,manual,599,,TRUE,FALSE,9780143473480,https://covers.openlibrary.org/b/isbn/9780143473480-L.jpg,1,COURTESY OF CRITICISM: SELECTED ESSAYS OF KIRTINATH KURTKOTI,active
one-piece-103-warrior-of-liberation-9781974738700,ONE PIECE 103: Warrior of Liberation,"<p>Source title: One Piece, Vol. 103 (103)</p>
<table><tr><td><strong>Author(s)</strong></td><td>尾田栄一郎</td></tr><tr><td><strong>Publisher</strong></td><td>VIZ Media LLC</td></tr><tr><td><strong>Published</strong></td><td>Jul 04, 2023</td></tr><tr><td><strong>Pages</strong></td><td>232</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>Engllish</td></tr><tr><td><strong>ISBN</strong></td><td>9781974738700</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781974738700' target='_blank'>Open Library</a></td></tr></table>",VIZ Media LLC,Media > Books,Books,"Engllish, Paper Back, 尾田栄一郎, franchise:ONE PIECE, series:ONE PIECE, form:manga, form:manga volume, form:graphic novel, genre:adventure, genre:comedy drama, genre:science fantasy, intended public:shōnen, universe:ONE PIECE",TRUE,Title,Default Title,9781974738700,shopify,2,deny,manual,899,,TRUE,FALSE,9781974738700,https://covers.openlibrary.org/b/id/14385308-L.jpg,1,ONE PIECE 103: Warrior of Liberation,active
pivot-or-die-9780063448919,PIVOT OR DIE,"<table><tr><td><strong>Author(s)</strong></td><td>Shapiro, Gary</td></tr><tr><td><strong>Publisher</strong></td><td>William Morrow</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780063448919</td></tr></table>",William Morrow,Media > Books,Books,"English, Paper Back, Shapiro, Gary",TRUE,Title,Default Title,9780063448919,shopify,6,deny,manual,599,,TRUE,FALSE,9780063448919,https://covers.openlibrary.org/b/isbn/9780063448919-L.jpg,1,PIVOT OR DIE,active
tibetan-suitcase-9789354479632,TIBETAN SUITCASE,<table><tr><td><strong>Author(s)</strong></td><td>TSERING NAMGYAL KHORTSA</td></tr><tr><td><strong>Publisher</strong></td><td>Speaking Tiger</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9789354479632</td></tr></table>,Speaking Tiger,Media > Books,Books,"English, Paper Back, TSERING NAMGYAL KHORTSA",TRUE,Title,Default Title,9789354479632,shopify,10,deny,manual,499,,TRUE,FALSE,9789354479632,https://covers.openlibrary.org/b/isbn/9789354479632-L.jpg,1,TIBETAN SUITCASE,active
the-naked-trader-sixth-edition-9781804091098,The Naked Trader (sixth edition),<table><tr><td><strong>Author(s)</strong></td><td>Robbie Burns</td></tr><tr><td><strong>Publisher</strong></td><td>Harriman House</td></tr><tr><td><strong>Format</strong></td><td>Trade Paperback</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781804091098</td></tr></table>,Harriman House,Media > Books,Books,"English, Trade Paperback, Robbie Burns",TRUE,Title,Default Title,9781804091098,shopify,15,deny,manual,750,,TRUE,FALSE,9781804091098,https://covers.openlibrary.org/b/isbn/9781804091098-L.jpg,1,The Naked Trader (sixth edition),active
silver-branch-and-the-otherworld-forest-magic-with-plant-and-fungi-allies-9781591434726,Silver Branch and the Otherworld: Forest Magic with Plant and Fungi Allies,<table><tr><td><strong>Author(s)</strong></td><td>Seán Pádraig O'Donoghue</td></tr><tr><td><strong>Publisher</strong></td><td>Bear & Company</td></tr><tr><td><strong>Published</strong></td><td>2024</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781591434726</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781591434726' target='_blank'>Open Library</a></td></tr></table>,Bear & Company,Media > Books,Books,"English, Paper Back, Seán Pádraig O'Donoghue",TRUE,Title,Default Title,9781591434726,shopify,7,deny,manual,799,,TRUE,FALSE,9781591434726,https://covers.openlibrary.org/b/isbn/9781591434726-L.jpg,1,Silver Branch and the Otherworld: Forest Magic with Plant and Fungi Allies,active
bombay-diamond-mumbai-gold-9789363367067,"BOMBAY DIAMOND, MUMBAI GOLD","<table><tr><td><strong>Author(s)</strong></td><td>SHANTA GOKHALE, SHABNAM MINWALLA</td></tr><tr><td><strong>Publisher</strong></td><td>Speaking Tiger</td></tr><tr><td><strong>Format</strong></td><td>Box Set</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9789363367067</td></tr></table>",Speaking Tiger,Media > Books,Books,"English, Box Set, SHANTA GOKHALE, SHABNAM MINWALLA",TRUE,Title,Default Title,9789363367067,shopify,4,deny,manual,999,,TRUE,FALSE,9789363367067,https://covers.openlibrary.org/b/isbn/9789363367067-L.jpg,1,"BOMBAY DIAMOND, MUMBAI GOLD",active
secret-life-of-mother-mary-divine-feminine-power-for-personal-healing-and-planetary-awakening-9781591435242,Secret Life of Mother Mary: Divine Feminine Power for Personal Healing and Planetary Awakening,<table><tr><td><strong>Author(s)</strong></td><td>Marguerite Mary Rigoglioso</td></tr><tr><td><strong>Publisher</strong></td><td>Bear & Company</td></tr><tr><td><strong>Published</strong></td><td>2024</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781591435242</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781591435242' target='_blank'>Open Library</a></td></tr></table>,Bear & Company,Media > Books,Books,"English, Paper Back, Marguerite Mary Rigoglioso",TRUE,Title,Default Title,9781591435242,shopify,1,deny,manual,599,,TRUE,FALSE,9781591435242,https://covers.openlibrary.org/b/isbn/9781591435242-L.jpg,1,Secret Life of Mother Mary: Divine Feminine Power for Personal Healing and Planetary Awakening,active
