Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Status
sun-signs-at-work-9788178089577,Sun Signs At Work,<table><tr><td><strong>Author(s)</strong></td><td>J.T. FORD</td></tr><tr><td><strong>Publisher</strong></td><td>Pearson Education (Exclusive with Prakash Book Depot)</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9788178089577</td></tr></table>,Pearson Education (Exclusive with Prakash Book Depot),Media > Books,Books,"English, Paper Back, J.T. FORD",TRUE,Title,Default Title,9788178089577,shopify,23,deny,manual,135,,TRUE,FALSE,9788178089577,https://covers.openlibrary.org/b/isbn/9788178089577-L.jpg,1,Sun Signs At Work,active
light-on-yoga-9788172235017,Light on Yoga,<table><tr><td><strong>Author(s)</strong></td><td>B.K.S. IYENGAR</td></tr><tr><td><strong>Publisher</strong></td><td>Rupa HC</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9788172235017</td></tr></table>,Rupa HC,Media > Books,Books,"English, Paper Back, B.K.S. IYENGAR",TRUE,Title,Default Title,9788172235017,shopify,94,deny,manual,599,,TRUE,FALSE,9788172235017,https://covers.openlibrary.org/b/isbn/9788172235017-L.jpg,1,Light on Yoga,active
the-fifth-mountain-9788172235147,The Fifth Mountain,<table><tr><td><strong>Author(s)</strong></td><td>PAULO COELHO</td></tr><tr><td><strong>Publisher</strong></td><td>Harpercollins India</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9788172235147</td></tr></table>,Harpercollins India,Media > Books,Books,"English, Paper Back, PAULO COELHO",TRUE,Title,Default Title,9788172235147,shopify,29,deny,manual,450,,TRUE,FALSE,9788172235147,https://covers.openlibrary.org/b/isbn/9788172235147-L.jpg,1,The Fifth Mountain,active
light-on-yoga-sutras-of-patanjali-9788172235420,Light On Yoga Sutras Of Patanjali,<table><tr><td><strong>Author(s)</strong></td><td>B.K.S. IYENGAR</td></tr><tr><td><strong>Publisher</strong></td><td>Harpercollins India</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9788172235420</td></tr></table>,Harpercollins India,Media > Books,Books,"English, Paper Back, B.K.S. IYENGAR",TRUE,Title,Default Title,9788172235420,shopify,52,deny,manual,599,,TRUE,FALSE,9788172235420,https://covers.openlibrary.org/b/isbn/9788172235420-L.jpg,1,Light On Yoga Sutras Of Patanjali,active
veronika-decides-to-die-9788172235437,Veronika Decides To Die,<table><tr><td><strong>Author(s)</strong></td><td>PAULO COELHO</td></tr><tr><td><strong>Publisher</strong></td><td>Harpercollins India</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9788172235437</td></tr></table>,Harpercollins India,Media > Books,Books,"English, Paper Back, PAULO COELHO",TRUE,Title,Default Title,9788172235437,shopify,3,deny,manual,450,,TRUE,FALSE,9788172235437,https://covers.openlibrary.org/b/isbn/9788172235437-L.jpg,1,Veronika Decides To Die,active
perfect-pastries-9783895089640,Perfect Pastries,<table><tr><td><strong>Author(s)</strong></td><td>NIL</td></tr><tr><td><strong>Publisher</strong></td><td>Konemann Uk Ltd</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9783895089640</td></tr></table>,Konemann Uk Ltd,Media > Books,Books,"English, Paper Back, NIL",TRUE,Title,Default Title,9783895089640,shopify,1,deny,manual,160,,TRUE,FALSE,9783895089640,https://covers.openlibrary.org/b/isbn/9783895089640-L.jpg,1,Perfect Pastries,active
favourite-herbs-mini-cookbooks-9783895089381,Favourite Herbs (Mini Cookbooks),<table><tr><td><strong>Author(s)</strong></td><td>Jacki Pan-Passmore</td></tr><tr><td><strong>Publisher</strong></td><td>Konemann UK Ltd</td></tr><tr><td><strong>Published</strong></td><td>November 1997</td></tr><tr><td><strong>Pages</strong></td><td>64</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9783895089381</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9783895089381' target='_blank'>Open Library</a></td></tr></table>,Konemann UK Ltd,Media > Books,Books,"English, Paper Back, Jacki Pan-Passmore, Cooking (Herbs)",TRUE,Title,Default Title,9783895089381,shopify,1,deny,manual,160,,TRUE,FALSE,9783895089381,https://covers.openlibrary.org/b/id/3280975-L.jpg,1,Favourite Herbs (Mini Cookbooks),active
who-moved-my-cheese-9780091816971,Who Moved My Cheese?,"<table><tr><td><strong>Author(s)</strong></td><td>Johnson, Spencer</td></tr><tr><td><strong>Publisher</strong></td><td>Vermilion</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780091816971</td></tr></table>",Vermilion,Media > Books,Books,"English, Paper Back, Johnson, Spencer",TRUE,Title,Default Title,9780091816971,shopify,1,deny,manual,250,,TRUE,FALSE,9780091816971,https://covers.openlibrary.org/b/id/68178-L.jpg,1,Who Moved My Cheese?,active
low-fat-way-9783895089558,Low Fat Way,<table><tr><td><strong>Author(s)</strong></td><td>NIL</td></tr><tr><td><strong>Publisher</strong></td><td>Konemann Uk Ltd</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9783895089558</td></tr></table>,Konemann Uk Ltd,Media > Books,Books,"English, Paper Back, NIL",TRUE,Title,Default Title,9783895089558,shopify,1,deny,manual,160,,TRUE,FALSE,9783895089558,https://covers.openlibrary.org/b/isbn/9783895089558-L.jpg,1,Low Fat Way,active
an-autobiography-9780143031048,An Autobiography,"<table><tr><td><strong>Author(s)</strong></td><td>JAWAHAR LAL NEHRU</td></tr><tr><td><strong>Publisher</strong></td><td>Penguin Books,India</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780143031048</td></tr></table>","Penguin Books,India",Media > Books,Books,"English, Paper Back, JAWAHAR LAL NEHRU",TRUE,Title,Default Title,9780143031048,shopify,196,deny,manual,599,,TRUE,FALSE,9780143031048,https://covers.openlibrary.org/b/isbn/9780143031048-L.jpg,1,An Autobiography,active
