Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Status
goblin-market-53-9780141397665,Goblin Market-53,<table><tr><td><strong>Author(s)</strong></td><td>ROSSETTI CHRISTINA</td></tr><tr><td><strong>Publisher</strong></td><td>Penguin Classic</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780141397665</td></tr></table>,Penguin Classic,Media > Books,Books,"English, Paper Back, ROSSETTI CHRISTINA",TRUE,Title,Default Title,9780141397665,shopify,3,deny,manual,150,,TRUE,FALSE,9780141397665,https://covers.openlibrary.org/b/isbn/9780141397665-L.jpg,1,Goblin Market-53,active
dare-to-be-dirty-9780425262979,Dare To Be Dirty,<table><tr><td><strong>Author(s)</strong></td><td>Savanna Fox</td></tr><tr><td><strong>Publisher</strong></td><td>Berkley Publishing Group</td></tr><tr><td><strong>Published</strong></td><td>2013</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780425262979</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9780425262979' target='_blank'>Open Library</a></td></tr></table>,Berkley Publishing Group,Media > Books,Books,"English, Paper Back, Savanna Fox, FICTION, Romance, Adult, Fiction, romance, erotic",TRUE,Title,Default Title,9780425262979,shopify,1,deny,manual,499,,TRUE,FALSE,9780425262979,https://covers.openlibrary.org/b/id/7714968-L.jpg,1,Dare To Be Dirty,active
john-henry-an-american-legend-9780394890524,"John Henry, an American legend","<table><tr><td><strong>Author(s)</strong></td><td>Ezra Jack Keats</td></tr><tr><td><strong>Publisher</strong></td><td>Knopf, Distributed by Random House</td></tr><tr><td><strong>Published</strong></td><td>1987</td></tr><tr><td><strong>Pages</strong></td><td>30</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780394890524</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9780394890524' target='_blank'>Open Library</a></td></tr></table>","Knopf, Distributed by Random House",Media > Books,Books,"English, Paper Back, Ezra Jack Keats, Juvenile literature, John Henry (Legendary character), Folklore, African Americans, Legends, Children's fiction, African americans, folklore, Folklore, united states, African americans, juvenile literature, Folklore, juvenile literature",TRUE,Title,Default Title,9780394890524,shopify,1,deny,manual,650,,TRUE,FALSE,9780394890524,https://covers.openlibrary.org/b/id/4120943-L.jpg,1,"John Henry, an American legend",active
bliss-9780062084248,Bliss,"<p>Source title: Bliss (Bliss Bakery Trilogy)</p>
<table><tr><td><strong>Author(s)</strong></td><td>Kathryn Littlewood</td></tr><tr><td><strong>Publisher</strong></td><td>Katherine Tegen Books</td></tr><tr><td><strong>Published</strong></td><td>Jan 08, 2013</td></tr><tr><td><strong>Pages</strong></td><td>400</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780062084248</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9780062084248' target='_blank'>Open Library</a></td></tr></table>",Katherine Tegen Books,Media > Books,Books,"English, Paper Back, Kathryn Littlewood, Bakers and bakeries, Books and reading, Magic, Brothers and sisters, Fiction, Bakeries, NEW LIST 20120331, Juvenile fiction, Siblings, Children's fiction",TRUE,Title,Default Title,9780062084248,shopify,1,deny,manual,599,,TRUE,FALSE,9780062084248,https://covers.openlibrary.org/b/id/10491884-L.jpg,1,Bliss,active
a-practical-guide-to-racism-9781592404308,A Practical Guide To Racism,<table><tr><td><strong>Author(s)</strong></td><td>C. H. Dalton</td></tr><tr><td><strong>Publisher</strong></td><td>Gotham Books</td></tr><tr><td><strong>Published</strong></td><td>2009</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781592404308</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781592404308' target='_blank'>Open Library</a></td></tr></table>,Gotham Books,Media > Books,Books,"English, Paper Back, C. H. Dalton, United states, race relations",TRUE,Title,Default Title,9781592404308,shopify,1,deny,manual,1250,,TRUE,FALSE,9781592404308,https://covers.openlibrary.org/b/id/7661270-L.jpg,1,A Practical Guide To Racism,active
poseidon-and-the-sea-of-fury-9781442452657,Poseidon and the sea of fury,"<p>Accelerated Reader LG 3.7 2 2 155860</p>
<table><tr><td><strong>Author(s)</strong></td><td>Joan Holub, Suzanne Williams</td></tr><tr><td><strong>Publisher</strong></td><td>Aladdin</td></tr><tr><td><strong>Published</strong></td><td>2012</td></tr><tr><td><strong>Pages</strong></td><td>110</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781442452657</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781442452657' target='_blank'>Open Library</a></td></tr></table>",Aladdin,Media > Books,Books,"English, Paper Back, Joan Holub, Suzanne Williams, Poseidon (Greek deity), Juvenile fiction, Poséidon (Divinité grecque), Romans, nouvelles, etc. pour la jeunesse",TRUE,Title,Default Title,9781442452657,shopify,1,deny,manual,299,,TRUE,FALSE,9781442452657,https://covers.openlibrary.org/b/id/9993642-L.jpg,1,Poseidon and the sea of fury,active
classics-to-read-aloud-to-your-children-selections-from-shakespeare-twain-dickens-o-henry-londo-9780517587157,"Classics To Read Aloud To Your Children: Selections From Shakespeare, Twain, Dickens, O.Henry, Londo","<p>A perennially popular collection of short stories, poems, legends, and myths from great works of literature that are especially appropriate for parents to read aloud to their children aged five to twelve. <b>Line drawings.</b></p>
<table><tr><td><strong>Author(s)</strong></td><td>William F. Russell</td></tr><tr><td><strong>Publisher</strong></td><td>HARMONY BOOKS</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780517587157</td></tr></table>",HARMONY BOOKS,Media > Books,Books,"English, Paper Back, William F. Russell",TRUE,Title,Default Title,9780517587157,shopify,1,deny,manual,1199,,TRUE,FALSE,9780517587157,https://images.isbndb.com/covers/7177693482372.jpg,1,"Classics To Read Aloud To Your Children: Selections From Shakespeare, Twain, Dickens, O.Henry, Londo",active
bleach-masked-9781421542300,BLEACH MASKED,<table><tr><td><strong>Author(s)</strong></td><td>Tite Kubo</td></tr><tr><td><strong>Publisher</strong></td><td>SIMON & SCHUSTER</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781421542300</td></tr></table>,SIMON & SCHUSTER,Media > Books,Books,"English, Paper Back, Tite Kubo",TRUE,Title,Default Title,9781421542300,shopify,1,deny,manual,1299,,TRUE,FALSE,9781421542300,https://covers.openlibrary.org/b/isbn/9781421542300-L.jpg,1,BLEACH MASKED,active
outlaw-pete-9781501103858,Outlaw Pete,<table><tr><td><strong>Author(s)</strong></td><td>Bruce Springsteens</td></tr><tr><td><strong>Publisher</strong></td><td>SIMON & SCHUSTER</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781501103858</td></tr></table>,SIMON & SCHUSTER,Media > Books,Books,"English, Paper Back, Bruce Springsteens",TRUE,Title,Default Title,9781501103858,shopify,1,deny,manual,499,,TRUE,FALSE,9781501103858,https://covers.openlibrary.org/b/isbn/9781501103858-L.jpg,1,Outlaw Pete,active
jelly-belly-9789351770893,JELLY BELLY,<table><tr><td><strong>Author(s)</strong></td><td>Dr Aparna Santhanam</td></tr><tr><td><strong>Publisher</strong></td><td>Collins</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9789351770893</td></tr></table>,Collins,Media > Books,Books,"English, Paper Back, Dr Aparna Santhanam",TRUE,Title,Default Title,9789351770893,shopify,1,deny,manual,299,,TRUE,FALSE,9789351770893,https://covers.openlibrary.org/b/isbn/9789351770893-L.jpg,1,JELLY BELLY,active
