Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Status
the-primal-force-in-symbol-understanding-the-language-of-higher-consciousness-9781594772498,The primal force in symbol: understanding the language of higher consciousness,"<p>Includes bibliographical references and index.</p>
<table><tr><td><strong>Author(s)</strong></td><td>René Alleau</td></tr><tr><td><strong>Publisher</strong></td><td>Inner Traditions</td></tr><tr><td><strong>Published</strong></td><td>2009</td></tr><tr><td><strong>Format</strong></td><td>Trade</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781594772498</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781594772498' target='_blank'>Open Library</a></td></tr></table>",Inner Traditions,Media > Books,Books,"English, Trade, René Alleau, Symbolism",TRUE,Title,Default Title,9781594772498,shopify,1,deny,manual,1750,,TRUE,FALSE,9781594772498,https://images.isbndb.com/covers/22173533482755.jpg,1,The primal force in symbol: understanding the language of higher consciousness,active
the-planthunter-truth-beauty-chaos-and-plants-9781604699647,"The Planthunter: Truth, Beauty, Chaos, and Plants","<p>Source title: The Planthunter: Truth, Beauty, Chaos, and Plants</p>
<table><tr><td><strong>Author(s)</strong></td><td>Georgina Reid</td></tr><tr><td><strong>Publisher</strong></td><td>Timber Press</td></tr><tr><td><strong>Published</strong></td><td>Apr 30, 2019</td></tr><tr><td><strong>Pages</strong></td><td>258</td></tr><tr><td><strong>Format</strong></td><td>Hardback Covers</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781604699647</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781604699647' target='_blank'>Open Library</a></td></tr></table>",Timber Press,Media > Books,Books,"English, Hardback Covers, Georgina Reid",TRUE,Title,Default Title,9781604699647,shopify,1,deny,manual,3510,,TRUE,FALSE,9781604699647,https://covers.openlibrary.org/b/id/8799716-L.jpg,1,"The Planthunter: Truth, Beauty, Chaos, and Plants",active
garden-made-a-year-of-seasonal-projects-to-beautify-your-garden-9781611801743,Garden Made: a Year of Seasonal Projects to Beautify Your Garden,"<table><tr><td><strong>Author(s)</strong></td><td>Rose, Stephanie</td></tr><tr><td><strong>Publisher</strong></td><td>SHAMBHALA PUBLICATIONS,INC.</td></tr><tr><td><strong>Format</strong></td><td>Trade</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781611801743</td></tr></table>","SHAMBHALA PUBLICATIONS,INC.",Media > Books,Books,"English, Trade, Rose, Stephanie",TRUE,Title,Default Title,9781611801743,shopify,1,deny,manual,2190,,TRUE,FALSE,9781611801743,https://covers.openlibrary.org/b/isbn/9781611801743-L.jpg,1,Garden Made: a Year of Seasonal Projects to Beautify Your Garden,active
the-pure-joy-of-being-an-illustrated-introduction-to-the-story-of-the-buddha-and-the-practice-of-meditation-9781611804843,The pure joy of being: an illustrated introduction to the story of the Buddha and the practice of meditation,"<p>Originally published under title: Is meditation only for Buddhists? London : Eddison Books Limited, 2017.Includes index.</p>
<table><tr><td><strong>Author(s)</strong></td><td>Fabrice Midal</td></tr><tr><td><strong>Publisher</strong></td><td>Shambhala Publications, Incorporated</td></tr><tr><td><strong>Published</strong></td><td>2017</td></tr><tr><td><strong>Pages</strong></td><td>192</td></tr><tr><td><strong>Format</strong></td><td>Hardback Covers</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781611804843</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781611804843' target='_blank'>Open Library</a></td></tr></table>","Shambhala Publications, Incorporated",Media > Books,Books,"English, Hardback Covers, Fabrice Midal, Meditation, Buddhism, Meditation, buddhism, Gautama buddha",TRUE,Title,Default Title,9781611804843,shopify,1,deny,manual,2190,,TRUE,FALSE,9781611804843,https://covers.openlibrary.org/b/id/14396945-L.jpg,1,The pure joy of being: an illustrated introduction to the story of the Buddha and the practice of meditation,active
language-of-heaven-crucial-questions-about-speaking-in-tongues-9781629996073,Language of Heaven : Crucial Questions About Speaking in Tongues,"<table><tr><td><strong>Author(s)</strong></td><td>Storms, Sam</td></tr><tr><td><strong>Publisher</strong></td><td>Charisma Media</td></tr><tr><td><strong>Format</strong></td><td>Trade</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781629996073</td></tr></table>",Charisma Media,Media > Books,Books,"English, Trade, Storms, Sam",TRUE,Title,Default Title,9781629996073,shopify,1,deny,manual,1580,,TRUE,FALSE,9781629996073,https://covers.openlibrary.org/b/isbn/9781629996073-L.jpg,1,Language of Heaven : Crucial Questions About Speaking in Tongues,active
heartwork-the-path-of-self-compassion-9781611804812,Heartwork: the path of self-compassion,"<p>""9 practices for opening the heart""--Cover.Includes bibliographical references and index.</p>
<table><tr><td><strong>Author(s)</strong></td><td>Radhule Weininger</td></tr><tr><td><strong>Publisher</strong></td><td>Shambhala</td></tr><tr><td><strong>Published</strong></td><td>2017</td></tr><tr><td><strong>Pages</strong></td><td>243</td></tr><tr><td><strong>Format</strong></td><td>Trade</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781611804812</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781611804812' target='_blank'>Open Library</a></td></tr></table>",Shambhala,Media > Books,Books,"English, Trade, Radhule Weininger, Compassion, Love, Forgiveness, Caring",TRUE,Title,Default Title,9781611804812,shopify,1,deny,manual,1529,,TRUE,FALSE,9781611804812,https://covers.openlibrary.org/b/isbn/9781611804812-L.jpg,1,Heartwork: the path of self-compassion,active
contemporary-design-in-detail-sustainable-environments-9781592532308,Contemporary design in detail: sustainable environments,"<table><tr><td><strong>Author(s)</strong></td><td>Yenna Chan, Yenna Chen, Alicia Kennedy</td></tr><tr><td><strong>Publisher</strong></td><td>Rockport</td></tr><tr><td><strong>Published</strong></td><td>2007</td></tr><tr><td><strong>Pages</strong></td><td>192</td></tr><tr><td><strong>Format</strong></td><td>Hardback Covers</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781592532308</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781592532308' target='_blank'>Open Library</a></td></tr></table>",Rockport,Media > Books,Books,"English, Hardback Covers, Yenna Chan, Yenna Chen, Alicia Kennedy, Sustainable architecture, Architecture, Modern, Modern Architecture, Domestic Architecture, Architecture, Domestic, Details, Sustainability & Green Design, ARCHITECTURE, Architectural structure & design, Design & Drafting",TRUE,Title,Default Title,9781592532308,shopify,1,deny,manual,4380,,TRUE,FALSE,9781592532308,https://covers.openlibrary.org/b/id/9812146-L.jpg,1,Contemporary design in detail: sustainable environments,active
shelter-of-each-other-9781594483721,Shelter of Each Other,"<p><b>“Simple solutions for survival in this family-unfriendly culture...Eye-opening...heart-wrenching and uplifting.”—<i>San Francisco</i></b><i><b> Chronicle </b></i><br><br>Even more resonant today than at its original publication in 1996, <i>The Shelter of Each Other</i> traces the effects of our society’s “anti-family” way of life, where parents are overtaxed, children are undersupervised, and technology is rapidly dictating how we interact. As she did in her number-one bestseller <i>Reviving Ophelia</i>, Mary Pipher illuminates how our families are suffering at the hands of shifting cultural norms, and she snaps our gaze into crisp focus. Drawing on the fascinating stories of families rich and poor, angry and despairing, religious and skeptical, and probing deep into her own family memories and experiences, Pipher clears a path to the strength and energy at the core of family life. Compassionate and heart-wrenching, <i>The Shelter of Each Other</i> is an impassioned call for us to gather our families in our arms and hold on to them for dear life.</p>
<table><tr><td><strong>Author(s)</strong></td><td>Mary Pipher</td></tr><tr><td><strong>Publisher</strong></td><td>Penguin Publishing Group</td></tr><tr><td><strong>Published</strong></td><td>2008</td></tr><tr><td><strong>Pages</strong></td><td>368</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781594483721</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781594483721' target='_blank'>Open Library</a></td></tr></table>",Penguin Publishing Group,Media > Books,Books,"English, Paper Back, Mary Pipher, Fiction, romance, general",TRUE,Title,Default Title,9781594483721,shopify,1,deny,manual,1400,,TRUE,FALSE,9781594483721,https://images.isbndb.com/covers/19285763482755.jpg,1,Shelter of Each Other,active
the-art-of-kung-fu-panda-3-9781608874941,The Art of Kung Fu Panda 3,<table><tr><td><strong>Author(s)</strong></td><td>Tracey Miller-Zarneke</td></tr><tr><td><strong>Publisher</strong></td><td>Insight Editions</td></tr><tr><td><strong>Published</strong></td><td>2015</td></tr><tr><td><strong>Pages</strong></td><td>168</td></tr><tr><td><strong>Format</strong></td><td>Hardback Covers</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781608874941</td></tr><tr><td><strong>More Info</strong></td><td><a href='https://openlibrary.org/isbn/9781608874941' target='_blank'>Open Library</a></td></tr></table>,Insight Editions,Media > Books,Books,"English, Hardback Covers, Tracey Miller-Zarneke",TRUE,Title,Default Title,9781608874941,shopify,1,deny,manual,3940,,TRUE,FALSE,9781608874941,https://covers.openlibrary.org/b/id/14606622-L.jpg,1,The Art of Kung Fu Panda 3,active
his-only-wife-9781616209155,His Only Wife,"<table><tr><td><strong>Author(s)</strong></td><td>Medie, Peace Adzo</td></tr><tr><td><strong>Publisher</strong></td><td>Algonquin Books</td></tr><tr><td><strong>Format</strong></td><td>Hard Cover</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781616209155</td></tr></table>",Algonquin Books,Media > Books,Books,"English, Hard Cover, Medie, Peace Adzo",TRUE,Title,Default Title,9781616209155,shopify,1,deny,manual,2270,,TRUE,FALSE,9781616209155,https://covers.openlibrary.org/b/isbn/9781616209155-L.jpg,1,His Only Wife,active
